name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,HMD,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Z-score,Order_formula,Main Focus,Online Count,Rating,summary,Download Count,#Player in the Most Popular Room,Platform Type,Platform availability,Hints for room creation,Room creation,Room creation detailed,Official Creator Documentation Main Page,Official First Step Guide,Unofficial Tutorials,Creator Description,Main Page Web Metric,Monthly Active Users,Events,Scholar Articles
ENDLESS BECOMING - APARTMENT,First,95,,https://store.steampowered.com/app/1669160/ENDLESS_BECOMING__APARTMENT/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_vr_multiplayer,Steam,,82,,,,,,,,,75%,,,,,,,,,,,,,,,,
Covert Syndrome,First,96,,https://store.steampowered.com/app/589460/Covert_Syndrome/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_vr_multiplayer,Steam,,145,,,,,,,,,68%,,,,,,,,,,,,,,,,
Tribe XR | DJ Academy,First,26,https://www.tribexr.com/,https://store.steampowered.com/app/877850/Tribe_XR__DJ_Academy/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_vr_multiplayer,Steam,,272,,,,,,,,,83%,,,,,,,,,,,,,,,,
Honeypot Espionage,First,98,,https://store.steampowered.com/app/599780/Honeypot_Espionage/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_vr_multiplayer,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Voyage Senki VR 海洋传说 VR,First,99,,https://store.steampowered.com/app/747210/Voyage_Senki_VR__VR/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_vr_multiplayer,Steam,,42,,,,,,,,,47%,,,,,,,,,,,,,,,,
ZuseRunners,First,12,https://www.meta.com/en-gb/experiences/zuserunners/6289885221105652/,https://www.meta.com/en-gb/experiences/zuserunners/6289885221105652/,Yes,Yes,No,No,,quest_query_data_social,Quest,0,409,,,,,,,,,82,(ZuseRunners) is a fun Multiplayer Game To Play With New People And Make New Friends,,,,,,,,,,,,,,,
vSpatial,First,98,,https://www.oculus.com/experiences/quest/2540393919317658/,Yes,No,,,Quest,QuestDB,Quest,Free,267,,,,,,,"Business, Utilities",,,,,,,,,,,,,,,,,,
Metaverse Construction Kit,First,2,https://store.steampowered.com/app/422630/Metaverse_Construction_Kit/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/422630/Metaverse_Construction_Kit/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,226,,,,,,,,,67%,,,,,,,,,,,,,,,,
MalovMetaArt Metaverse,First,3,https://store.steampowered.com/app/2224020/MalovMetaArt_Metaverse/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2224020/MalovMetaArt_Metaverse/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,27,,,,,,,,,81%,,,,,,,,,,,,,,,,
XRWorkout,First,63,https://www.meta.com/en-gb/experiences/xrworkout/8266372770101746/,https://www.meta.com/en-gb/experiences/xrworkout/8266372770101746/,Yes,Yes,Yes,No,,quest_query_data_metaverse,Quest,0,246,,,,,,,,,78,"The ultimate full body fitness game that follows YOUR rules. Pushing the boundaries of movement in VR with hand tracking and rhythm based bodyweight exercises.
Join or build circles that workout together around the globe with multiplayer group workouts. 
With a unique mixed reality passthrough workout for smaller spaces and a true gym in a bag if you take it on your next trip.",,,,,,,,,,,,,,,
Metaverse Keeper Demo,First,5,https://store.steampowered.com/app/698870/Metaverse_Keeper/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/698870/Metaverse_Keeper/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
SinVR,,42,,https://store.steampowered.com/app/966870/SinVR/?curator_clanid=4777282,Yes,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Sexual Content, Social",3,,,,,,,,,,,,,,,,,
Star Renegades: Guardian of the Metaverse,First,7,https://store.steampowered.com/app/1677780/Star_Renegades_Guardian_of_the_Metaverse/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1677780/Star_Renegades_Guardian_of_the_Metaverse/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Arkio,First,6,https://www.arkio.is/,https://www.meta.com/en-gb/experiences/arkio/2280319701979278/,Yes,Yes,Yes,Yes,,quest_query_data_metaverse,Quest,0,204,204,-0.2644031966,31159,-0.1944730335,-0.4588762302,,,,76,"Design interiors, buildings, virtual spaces and more with Arkio on Meta Quest. Try new design ideas and collaborate with others using VR, desktop and mobile to make better design decisions faster. With room import and passthrough you can design, mix and share realities like never before. Bring mixed reality in Arkio to life with color passthrough on Meta Quest 3 &amp; Pro. Upload and download large models directly using Arkio Cloud. Import and export seamlessly from Revit, Rhino, SketchUp and Unity.",,,,,,,,,,,,,,,
Hyper Online: Avatar VTuber Studio,First,9,https://store.steampowered.com/app/2828790/Hyper_Online_Avatar_VTuber_Studio/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2828790/Hyper_Online_Avatar_VTuber_Studio/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,49,,,,,,,,,53%,,,,,,,,,,,,,,,,
WWII Online,First,10,https://store.steampowered.com/app/251950/WWII_Online/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/251950/WWII_Online/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,3638,,,,,,,,,49%,,,,,,,,,,,,,,,,
Many Worlds VR,,44,https://store.steampowered.com/app/1496000/Many_Worlds_VR/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1496000/Many_Worlds_VR/?snr=1_7_7_151_150_1,,Yes,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
MagicCraft,First,12,https://store.steampowered.com/app/2395760/MagicCraft/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2395760/MagicCraft/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,67,,,,,,,,,76%,,,,,,,,,,,,,,,,
Nero Score - PC benchmark & performance test,First,13,https://store.steampowered.com/app/1942030/Nero_Score__PC_benchmark__performance_test/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1942030/Nero_Score__PC_benchmark__performance_test/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,19,,,,,,,,,52%,,,,,,,,,,,,,,,,
BackRooms,First,14,https://store.steampowered.com/app/1906190/BackRooms/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1906190/BackRooms/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Cluster,First,31,https://cluster.mu/,https://www.meta.com/en-gb/experiences/cluster/4178943235565629/,Yes,Yes,Yes,Yes,Yes,Google search,Meta,Free,95,95,-0.2672931617,924660,-0.1929197391,-0.4602129008,,,,,,,,,,,,,,,,,,,,
KoreanWarMemorial,First,16,https://store.steampowered.com/app/2252190/KoreanWarMemorial/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2252190/KoreanWarMemorial/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,17,,,,,,,,,82%,,,,,,,,,,,,,,,,
Planet-A,First,17,https://store.steampowered.com/app/1918590/PlanetA/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1918590/PlanetA/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,12,,,,,,,,,83%,,,,,,,,,,,,,,,,
Reborn,First,125,,https://www.oculus.com/experiences/quest/9100500193300999/,Yes,Yes,,,Quest,QuestDB,Quest,Free,156,,,,,,,"Social, Casual",,,,,,,,From building epic game worlds with your squad to jamming out at live vtuber concerts with hundreds of fans – the possibilities are ENDLESS.,,,,,,,,,,
vTime XR,First,7,https://vtime.net/,https://www.meta.com/en-gb/experiences/vtime-xr/1961984627245151/,Yes,Yes,Yes,No,Yes,Google search,Meta,0,148,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
Endless Battlefield,First,20,https://store.steampowered.com/app/1795880/Endless_Battlefield/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1795880/Endless_Battlefield/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,55,,,,,,,,,43%,,,,,,,,,,,,,,,,
CGI™: The Game,First,21,https://store.steampowered.com/app/2251930/CGI_The_Game/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2251930/CGI_The_Game/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,11,,,,,,,,,81%,,,,,,,,,,,,,,,,
Ashes Of Idunn: Tales Of Fimbulwinter,First,22,https://store.steampowered.com/app/2997410/Ashes_Of_Idunn_Tales_Of_Fimbulwinter/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2997410/Ashes_Of_Idunn_Tales_Of_Fimbulwinter/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,18,,,,,,,,,66%,,,,,,,,,,,,,,,,
ENGAGE,First,4,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,Yes,Yes,,,,quest_query_data_metaverse,Quest,0,140,,,,,,,,,72,"ENGAGE is a business-focused spatial computing platform
Designed for corporations, professionals, education organizations, and event organizers.

It is used for remote training, collaboration, events, and marketing and enables our clients to directly engage with employees, customers, and suppliers in virtual locations and digital twins.

ENGAGE clients include companies across many different business verticals, including KPMG, Pfizer, 3M, Stanford University, Lenovo, HSBC, KIA, and many more.",,,,,,,,,,,,,,,
MageCosmos,,47,https://store.steampowered.com/app/1617080/MageCosmos/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1617080/MageCosmos/?snr=1_7_7_151_150_1,,Yes,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
"Medicalholodeck. Anatomy, Medical Imaging (DICOM), and Automatic Segmentation in VR and AR. For Medical Education and Professionals.",First,25,https://store.steampowered.com/app/754010/Medicalholodeck_Anatomy_Medical_Imaging_DICOM_and_Automatic_Segmentation_in_VR_and_AR_For_Medical_Education_and_Professionals/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/754010/Medicalholodeck_Anatomy_Medical_Imaging_DICOM_and_Automatic_Segmentation_in_VR_and_AR_For_Medical_Education_and_Professionals/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,53,,,,,,,,,75%,,,,,,,,,,,,,,,,
Riff XR,First,32,https://store.steampowered.com/app/2182790/Riff_XR/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2182790/Riff_XR/?snr=1_7_7_151_150_1,,Yes,Yes,No,,steam_query_data_metaverse,Steam,,124,,,,,,,,,67%,,,,,,,,,,,,,,,,
Parts Unknown,First,27,https://store.steampowered.com/app/2255760/Parts_Unknown/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2255760/Parts_Unknown/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,15,,,,,,,,,53%,,,,,,,,,,,,,,,,
GRAB,,47,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,Yes,Yes,,,,quest_query_data_metaverse,Quest,0,10615,,,,,,,,,98,"Experience the thrill of VR platforming in GRAB, where you can parkour through user-created levels with friends and build your own.",,,,,,,,,,,,,,,
Soundscape VR: 2017,First,18,https://store.steampowered.com/app/636930/Soundscape_VR_2017/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/636930/Soundscape_VR_2017/?snr=1_7_7_151_150_1,,Yes,Yes,No,,steam_query_data_metaverse,Steam,,110,,,,,,,,,70%,,,,,,,,,,,,,,,,
Curatours,First,30,https://store.steampowered.com/app/1532110/Curatours/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1532110/Curatours/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,14,,,,,,,,,92%,,,,,,,,,,,,,,,,
Modules,First,31,https://store.steampowered.com/app/2266160/Modules/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2266160/Modules/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,47,,,,,,,,,82%,,,,,,,,,,,,,,,,
ToyPark - physics-based social VR platform,,48,https://store.steampowered.com/app/1723460/ToyPark__physicsbased_social_VR_platform/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1723460/ToyPark__physicsbased_social_VR_platform/?snr=1_7_7_151_150_1,,Yes,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
vTime XR,,47,https://www.meta.com/en-gb/experiences/vtime-xr/1961984627245151/,https://www.meta.com/en-gb/experiences/vtime-xr/1961984627245151/,Yes,Yes,Yes,No,,quest_query_data_social,Quest,0,147,,,,,,,,,70,"Meet, chat, watch content, and share your photos with real people from around the globe in vTime XR - the world&#039;s first cross-reality (XR) social network
 
Socialize with friends from anywhere in the world, inside stunning virtual destinations or your own 360 photos
  
&#x2022; Chat in amazing destinations 
&#x2022; Watch incredible content in Theaters 
&#x2022; Share photos and 360 images
&#x2022; Millions of customization combinations
&#x2022; DM friends with vText",,,,,,,,,,,,,,,
Undefeated Samurai,First,34,https://store.steampowered.com/app/1795030/Undefeated_Samurai/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1795030/Undefeated_Samurai/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Arkio,,49,,https://store.steampowered.com/app/1053760/Arkio/?snr=1_7_7_151_150_1,,,,,,steam_query_data_vr_multiplayer,Steam,,35,,,,,,,,,94%,,,,,,,,,,,,,,,,
Anarchy Arcade,First,36,https://store.steampowered.com/app/266430/Anarchy_Arcade/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/266430/Anarchy_Arcade/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,2216,,,,,,,,,68%,,,,,,,,,,,,,,,,
Scenez,,49,https://store.steampowered.com/app/2154520/Scenez/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2154520/Scenez/?snr=1_7_7_151_150_1,,Yes,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
VRChat,First,49,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,Yes,Yes,,,,quest_query_data_metaverse,Quest,0,27507,,,,,,,,,74,Make Friends and Explore an Endless Stream of Community Made Worlds and Avatars,,,,,,,,,,,,,,,
ChilloutVR,,28,https://store.steampowered.com/app/1435530/ChilloutVR__Mature_Content_Access/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/661130/ChilloutVR/,,Yes,Yes,Yes,,steam_query_data_metaverse,Steam,,103,,,,,,,,,97%,,,,,,,,,,,,,,,,
Devas Vs Asuras,First,40,https://store.steampowered.com/app/2678790/Devas_Vs_Asuras/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2678790/Devas_Vs_Asuras/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Angelic: The Chaos Theatre,First,41,https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Animals,First,42,https://store.steampowered.com/app/3103760/Animals/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/3103760/Animals/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Party Park Demo,First,43,https://store.steampowered.com/app/2168430/Party_Park/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2168430/Party_Park/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Sansar,First,50,,https://store.steampowered.com/app/586110/Sansar/?curator_clanid=4777282,Yes,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Events",1,,,,,,,,,,,,,,,,,
WoofChat,First,45,https://store.steampowered.com/app/2518520/WoofChat/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2518520/WoofChat/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Flipside,First,13,https://www.meta.com/en-gb/experiences/flipside/2305425142915253/,https://www.meta.com/en-gb/experiences/flipside/2305425142915253/,Yes,Yes,Yes,No,,quest_query_data_social,Quest,0,108,,,,,,,,,78,"Flipside is the metaverse social media platform for next-gen creators and their fans.

Watch a steady stream of spatial content, which you can like, subscribe, share, and even remix. Connect with friends over multiplayer and watch together!

Next-gen creators make spatial recordings using Flipside&#x2019;s built-in virtual TV studio, then share them to your channel and build a fanbase of subscribers.

Download Flipside today!",,,,,,,,,,,,,,,
Neos VR,,51,,https://store.steampowered.com/app/740250/Neos_VR/?curator_clanid=4777282,Yes,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,1,,,,,,,,,,,,,,,,,
ENGAGE,,1,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,Yes,Yes,,,,quest_query_data_social,Quest,0,140,,,,,,,,,72,"ENGAGE is a business-focused spatial computing platform
Designed for corporations, professionals, education organizations, and event organizers.

It is used for remote training, collaboration, events, and marketing and enables our clients to directly engage with employees, customers, and suppliers in virtual locations and digital twins.

ENGAGE clients include companies across many different business verticals, including KPMG, Pfizer, 3M, Stanford University, Lenovo, HSBC, KIA, and many more.",,,,,,,,,,,,,,,
ENGAGE,,42,https://engagevr.io/,"https://www.meta.com/en-gb/experiences/3092079454190601/
https://store.steampowered.com/app/449130/ENGAGE/",Yes,Yes,Yes,Yes,Yes,Google search,"Meta
Steam","Free
Free",140,140,-0.2661000568,87196,-0.1943756168,-0.4604756736,,,,,,,,,,,,,,,,,,,,
Angelic: The Chaos Theatre Open Alpha,First,50,https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Cards & Tankards,,52,https://www.meta.com/en-gb/experiences/cards-tankards/3073319699437112/,https://www.meta.com/en-gb/experiences/cards-tankards/3073319699437112/,Yes,Yes,,,,quest_query_data_social,Quest,0,1487,,,,,,,,,84,"&quot;The best VR card game I&#039;ve ever played&quot; - Ben Plays VR
&quot;My go to VR game whenever I want to have some friendly competition&quot; - Matteo311

Grab a drink, invite your friends and ready your deck!

Cards &amp; Tankards is VR&#x2019;s first social collectible card game. Collect over 230 cards, battle against other players or the computer and enjoy the immersive atmosphere of playing at your local card store from the comfort of your home!",,,,,,,,,,,,,,,
Parts Unknown 2024,First,52,https://store.steampowered.com/app/2822630/Parts_Unknown_2024/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2822630/Parts_Unknown_2024/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Death Damnation Demo,First,53,https://store.steampowered.com/app/1915450/Death_Damnation__Zombies_Ghosts_and_Vampires/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/1915450/Death_Damnation__Zombies_Ghosts_and_Vampires/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Disco Samurai Demo,First,54,https://store.steampowered.com/app/2576410/Disco_Samurai/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2576410/Disco_Samurai/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Press Lex to Metaverx Demo,First,55,https://store.steampowered.com/app/2091740/Press_Lex_to_Metaverx/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2091740/Press_Lex_to_Metaverx/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
NeverRage Demo,First,56,https://store.steampowered.com/app/1761730/NeverRage/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/1761730/NeverRage/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Cloud House - Virtual Arts Space,First,57,https://store.steampowered.com/app/2206960/Cloud_House__Virtual_Arts_Space/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2206960/Cloud_House__Virtual_Arts_Space/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
VirtualCast,First,28,https://virtualcast.jp/,https://store.steampowered.com/app/947890/VirtualCast/?snr=1_7_7_151_150_1,,Yes,Yes,Yes,,steam_query_data_vr_multiplayer,Steam,,99,99,-0.2671871079,143247,-0.1942781757,-0.4614652836,,,,78%,,,,,,,,,,,,,,,,
Sultan Of Egypt Trailer Demo,First,59,https://store.steampowered.com/app/1911200/Sultan_Of_Egypt/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/1911200/Sultan_Of_Egypt/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Mist Slayer Demo,First,60,https://store.steampowered.com/app/2088650/Mist_Slayer/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2088650/Mist_Slayer/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_metaverse,Steam,,0,,,,,,,,,-,,,,,,,,,,,,,,,,
Flipside,,5,https://www.meta.com/en-gb/experiences/flipside/2305425142915253/,https://www.meta.com/en-gb/experiences/flipside/2305425142915253/,Yes,Yes,,,,quest_query_data_metaverse,Quest,0,108,,,,,,,,,78,"Flipside is the metaverse social media platform for next-gen creators and their fans.

Watch a steady stream of spatial content, which you can like, subscribe, share, and even remix. Connect with friends over multiplayer and watch together!

Next-gen creators make spatial recordings using Flipside&#x2019;s built-in virtual TV studio, then share them to your channel and build a fanbase of subscribers.

Download Flipside today!",,,,,,,,,,,,,,,
ENGAGE,,15,https://engagevr.io/,https://store.steampowered.com/app/449130/ENGAGE/?snr=1_7_7_151_150_1,,Yes,Yes,Yes,,steam_query_data_metaverse,Steam,,76,,,,,,,,,82%,,,,,,,,,,,,,,,,
Half + Half,,55,https://halfandhalf.fun/,https://www.meta.com/en-gb/experiences/2035353573194060/,Yes,,,,Yes,Google search,Meta,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiverse,First,56,,https://www.oculus.com/experiences/quest/1976071352472244/,Yes,Yes,,,Quest,QuestDB,Quest,Free,992,,,,,,,"Lifestyle, Social",,,,,,,,,,,,,,,,,,
Zoe,First,17,https://www.meta.com/en-gb/experiences/zoe/5464660053555314/,https://www.meta.com/en-gb/experiences/zoe/5464660053555314/,Yes,Yes,,,,quest_query_data_metaverse,Quest,0,102,,,,,,,,,72,"For ages 13 and up

Zoe enables the rapid creation of interactive 3D scenes through a no-code interface and automation. Invite your friends, students, colleagues and clients to collaborate, learn and create together in real-time. 
What can I create with Zoe?
Zoe has been used to host immersive workshops, virtual classrooms, project-based-learning activities, meetups, events, interactive art, marketing campaigns, and even mini-games for therapy.",,,,,,,,,,,,,,,
Wolvic,First,6,https://www.meta.com/en-gb/experiences/wolvic/5917120145021341/,https://www.meta.com/en-gb/experiences/wolvic/5917120145021341/,Yes,No,,,,quest_query_data_social,Quest,0,195,,,,,,,,,72,"Wolvic is a secure, open source, and accessible web browser that brings all of the web&#x2019;s vast information and applications to the world of XR, and enables rich immersive WebXR experiences on the web itself. With interfaces and interaction support designed for immersive headsets, Wolvic brings you the best of both the web and XR.",,,,,,,,,,,,,,,
Drop In - VR F2P,,58,,https://store.steampowered.com/app/1144800/Drop_In__VR_F2P/?curator_clanid=4777282,Yes,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Games",1,,,,,,,,,,,,,,,,,
Aim XR,First,8,https://www.meta.com/en-gb/experiences/aim-xr/4245506092131005/,https://www.meta.com/en-gb/experiences/aim-xr/4245506092131005/,Yes,No,,,,quest_query_data_social,Quest,0,1259,,,,,,,,,86,"Fast-paced multiplayer, run-and-gun shooter. 6v6 players",,,,,,,,,,,,,,,
BIG BALLERS VR,First,9,https://www.meta.com/en-gb/experiences/big-ballers-vr/3947713001963656/,https://www.meta.com/en-gb/experiences/big-ballers-vr/3947713001963656/,Yes,No,,,,quest_query_data_social,Quest,0,15198,,,,,,,,,96,"&#x1f410; BECOME THE G.O.A.T &#x1f410; 

Rank up in the fastest growing VR sports game, BIG BALLERS VR. Play with up to 12 players and perform crazy windmill contact dunks in basketball, slug dingers in baseball, and clutch it with game-winning touchdown catches. Try our MR Fitness mode too.  

&#x1f3c8; EASY TO LEARN &#x2013; HARD TO MASTER &#x26be;&#xfe0f;&#x1f3c0;&#x1f3d0;

Our world-class physics engine gives you realistic natural gameplay while being easy to grasp yet challenging to master.

&#x1f624; WILL YOU RISE TO THE CHALLENGE &#x1f624;

Play free now!",,,,,,,,,,,,,,,
VirtualCast,,11,https://store.steampowered.com/app/947890/VirtualCast/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/947890/VirtualCast/?snr=1_7_7_151_150_1,,Yes,,,,steam_query_data_metaverse,Steam,,99,,,,,,,,,78%,,,,,,,,,,,,,,,,
Gods of Gravity,First,11,https://www.meta.com/en-gb/experiences/gods-of-gravity/3919415921458774/,https://www.meta.com/en-gb/experiences/gods-of-gravity/3919415921458774/,Yes,No,,,,quest_query_data_social,Quest,0,2026,,,,,,,,,88,"Gods of Gravity is a social, arcade-style RTS game where you compete in an epic showdown of celestial gods. Scoop up ships and fling them to capture a nearby planet, or open wormholes to teleport them across the solar system. Hold planets and moons to boost your production. Mine asteroids for the powerful resources within. And if you dare, capture the sun for the ultimate buff. Then send a massive fleet to conquer your enemy&#x2019;s home planet. Last god standing wins.",,,,,,,,,,,,,,,
MeetinVR,First,14,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,Yes,Yes,Yes,No,,quest_query_data_metaverse,Quest,0,86,,,,,,,,,70,"MeetinVR enables best-in-class metaverse meetings and collaboration. 

Whether you want to meet with your team or with your customers, MeetinVR provides the ideal platform for workshops, training, and education.",,,,,,,,,,,,,,,
MeetinVR,,3,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,https://www.meta.com/en-gb/experiences/meetinvr/1760132027421053/,Yes,Yes,,,,quest_query_data_social,Quest,0,86,,,,,,,,,70,"MeetinVR enables best-in-class metaverse meetings and collaboration. 

Whether you want to meet with your team or with your customers, MeetinVR provides the ideal platform for workshops, training, and education.",,,,,,,,,,,,,,,
